"Label","Action","Geonames","LOC","Motivation","Class","Variant Names"
"asbury manual labor school","Replace","","","tagging","school","asbury manual labor school"
"diné","Replace","","","tagging","tribe","diné;navajo;navaho;athapascan indians;navajos"
"bond's mission school","Replace","","","tagging","school","bond's mission school;montana industrial school for indians"
"burney institute","Replace","","","tagging","school","burney institute"
"absentee shawnee boarding school","Replace","","","tagging","school","absentee shawnee boarding school"
"cherokee orphan asylum","Replace","","","tagging","school","cherokee orphan asylum"
"cameron institute","Replace","","","tagging","school","cameron institute"
"asbury manual labor school","Replace","","","tagging","school","asbury manual labor school"
"chilocco indian agricultural school","Replace","","","tagging","school","chilocco indian agricultural school"
"cantonment indian boarding school","Replace","","","tagging","school","cantonment indian boarding school"
"bacone college","Replace","","","tagging","school","bacone college"
"circle of nations indian school","Replace","","","tagging","school","circle of nations indian school"
"chickasaw national academy","Replace","","","tagging","school","chickasaw national academy"
"cherokee female seminary","Replace","","","tagging","school","cherokee female seminary"
"emahaka mission","Replace","","","tagging","school","emahaka mission"
"chinle boarding school","Replace","","","tagging","school","chinle boarding school"
"cherokee male seminary","Replace","","","tagging","school","cherokee male seminary"
"eufaula dormitory","Replace","","","tagging","school","eufaula dormitory"
"chuala female seminary","Replace","","","tagging","school","chuala female seminary;pine ridge mission schoo"
"cheyenne-arapaho boarding school","Replace","","","tagging","school","cheyenne-arapaho boarding school"
"eufaula indian high school","Replace","","","tagging","school","eufaula indian high school"
"dwight mission","Replace","","","tagging","school","dwight mission"
"chickasaw (male) academy","Replace","","","tagging","school","chickasaw (male) academy;chickasaw academy"
"fort coffee academy","Replace","","","tagging","school","fort coffee academy"
"elliott academy","Replace","","","tagging","school","elliott academy;oak hill industrial academy"
"colbert institute","Replace","","","tagging","school","colbert institute"
"fort shaw indian school","Replace","","","tagging","school","fort shaw indian school"
"el meta bond college","Replace","","","tagging","school","el meta bond college"
"darlington mission school","Replace","","","tagging","school","darlington mission school"
"iowa mission school","Replace","","","tagging","school","iowa mission school"
"euchee boarding school","Replace","","","tagging","school","euchee boarding school"
"folsom training school","Replace","","","tagging","school","folsom training school"
"jones academy","Replace","","","tagging","school","jones academy"
"flandreau indian school","Replace","","","tagging","school","flandreau indian school"
"hillside mission school","Replace","","","tagging","school","hillside mission school"
"mekasukey academy","Replace","","","tagging","school","mekasukey academy"
"fort totten indian industrial school","Replace","","","tagging","school","fort totten indian industrial school"
"holbrook indian school","Replace","","","tagging","school","holbrook indian school"
"nuyaka school and orphanage","Replace","","","tagging","school","nuyaka school and orphanage;nuyaka mission"
"genoa indian industrial school","Replace","","","tagging","school","genoa indian industrial school"
"levering manual labor school","Replace","","","tagging","school","levering manual labor school"
"oklahoma school for the deaf","Replace","","","tagging","school","oklahoma school for the deaf"
"haskell indian industrial training school","Replace","","","tagging","school","haskell indian industrial training school"
"oklahoma presbyterian college for girls","Replace","","","tagging","school","oklahoma presbyterian college for girls"
"pine ridge boarding school","Replace","","","tagging","school","pine ridge boarding school"
"ignacio boarding school","Replace","","","tagging","school","ignacio boarding school"
"oklahoma school for the blind","Replace","","","tagging","school","oklahoma school for the blind"
"pinon boarding school","Replace","","","tagging","school","pinon boarding school"
"intermountain indian school","Replace","","","tagging","school","intermountain indian school"
"oneida indian school","Replace","","","tagging","school","oneida indian school"
"rainy mountain boarding school","Replace","","","tagging","school","rainy mountain boarding school"
"many farms high school","Replace","","","tagging","school","many farms high school"
"pierre indian school","Replace","","","tagging","school","pierre indian school"
"rapid city indian school","Replace","","","tagging","school","rapid city indian school"
"new hope academy","Replace","","","tagging","school","new hope academy"
"pipestone indian school","Replace","","","tagging","school","pipestone indian school"
"sac and fox boarding school","Replace","","","tagging","school","sac and fox boarding school"
"oak hill industrial academy","Replace","","","tagging","school","oak hill industrial academy"
"st. patrick's mission and boarding school","Replace","","","tagging","school","st. patrick's mission and boarding school"
"sacred heart college","Replace","","","tagging","school","sacred heart college"
"osage boarding school","Replace","","","tagging","school","osage boarding school"
"sasakwa female academy","Replace","","","tagging","school","sasakwa female academy"
"st. agnes academy","Replace","","","tagging","school","st. agnes academy"
"pawnee boarding school","Replace","","","tagging","school","pawnee boarding school"
"sequoyah high school","Replace","","","tagging","school","sequoyah high school"
"st. john's boarding school","Replace","","","tagging","school","st. john's boarding school"
"st. agnes mission","Replace","","","tagging","school","st. agnes mission"
"sherman indian high school","Replace","","","tagging","school","sherman indian high school"
"st. joseph's boarding school","Replace","","","tagging","school","st. joseph's boarding school"
"st. boniface indian school","Replace","","","tagging","school","st. boniface indian school"
"sulphur springs indian school","Replace","","","tagging","school","sulphur springs indian school"
"st. louis industrial school","Replace","","","tagging","school","st. louis industrial school"
"st. mary's boarding school","Replace","","","tagging","school","st. mary's boarding school"
"tullahassee mission school","Replace","","","tagging","school","tullahassee mission school"
"shawnee boarding school","Replace","","","tagging","school","shawnee boarding school"
"tomah indian school","Replace","","","tagging","school","tomah indian school"
"tullahassee manual labor school","Replace","","","tagging","school","tullahassee manual labor school"
"shiprock boarding school","Replace","","","tagging","school","shiprock boarding school"
"wealaka mission school","Replace","","","tagging","school","wealaka mission school"
"wapanucka academ","Replace","","","tagging","school","wapanucka academ;allen academy"
"southwestern indian polytechnic institute","Replace","","","tagging","school","southwestern indian polytechnic institute"
"white's manual labor institute","Replace","","","tagging","school","white's manual labor institute"
"spencer academy","Replace","","","tagging","school","spencer academy;national school of the choctaw nation"
"yellow springs school","Replace","","","tagging","school","yellow springs school"
"stewart indian school","Replace","","","tagging","school","stewart indian school"
"theodore roosevelt indian boarding school","Replace","","","tagging","school","theodore roosevelt indian boarding school"
"tushka lusa institute","Replace","","","tagging","school","tushka lusa institute;tuska lusa;tushkaloosa academy"
"wahpeton indian school","Replace","","","tagging","school","wahpeton indian school"
"wheelock academy","Replace","","","tagging","school","wheelock academy"
"wetumka boarding school","Replace","","","tagging","school","wetumka boarding school"
"wittenberg indian school","Replace","","","tagging","school","wittenberg indian school"
"anadarko boarding school","Replace","","","tagging","school","anadarko boarding school"
"chamberlain indian school","Replace","","","tagging","school","chamberlain indian school"
"chemawa indian school","Replace","","","tagging","school","chemawa indian school"
"chickasaw children's village","Replace","","","tagging","school","chickasaw children's village"
"creek orphan asylum","Replace","","","tagging","school","creek orphan asylum"
"fort sill indian school","Replace","","","tagging","school","fort sill indian school;josiah missionary school"
"goodland academy & indian orphanage","Replace","","","tagging","school","goodland academy & indian orphanage"
"hampton institute","Replace","","","tagging","school","hampton institute"
"m-1304_25","Replace","","","tagging","roll","m-1304_25"
"koweta mission school coweta","Replace","","","tagging","school","koweta mission school coweta"
"san juan school","Replace","","","tagging","school","san juan school"
"morris industrial school for indians","Replace","","","tagging","school","morris industrial school for indians"
"mount edgecumbe high school","Replace","","","tagging","school","mount edgecumbe high school"
"oak ridge manual labor school","Replace","","","tagging","school","oak ridge manual labor school"
"park hill mission school","Replace","","","tagging","school","park hill mission school"
"pine ridge mission school","Replace","","","tagging","school","pine ridge mission school"
"riverside indian school","Replace","","","tagging","school","riverside indian school"
"sacred heart institute","Replace","","","tagging","school","sacred heart institute"
"thomas indian school","Replace","","","tagging","school","thomas indian school"
"tuskahoma female academy","Replace","","","tagging","school","tuskahoma female academy"
"wewoka mission school","Replace","","","tagging","school","wewoka mission school"
"pueblo agency","Replace","","","tagging","org","pueblo agency"
"arapaho manual labor and boarding school","Replace","","","tagging","school","arapaho manual labor and boarding school"
"bloomfield female academy","Replace","","","tagging","school","bloomfield female academy"
"m-1473_01","Replace","","","tagging","roll","m-1473_01"
"cheyenne manual labor and boarding school","Replace","","","tagging","school","cheyenne manual labor and boarding school"
"chickasaw orphan home and manual labor school","Replace","","","tagging","school","chickasaw orphan home and manual labor school;burney academy"
"concho indian boarding school","Replace","","","tagging","school","concho indian boarding school"
"harley institute","Replace","","","tagging","school","harley institute"
"hayward indian school","Replace","","","tagging","school","hayward indian school"
"marty indian school","Replace","","","tagging","school","marty indian school"
"mount pleasant indian industrial boarding school","Replace","","","tagging","school","mount pleasant indian industrial boarding school"
"murray state school of agriculture","Replace","","","tagging","school","murray state school of agriculture"
"nenannezed boarding school","Replace","","","tagging","school","nenannezed boarding school"
"m-1473_27","Replace","","","tagging","roll","m-1473_27"
"quapaw industrial boarding school","Replace","","","tagging","school","quapaw industrial boarding school"
"st. elizabeth's boarding school","Replace","","","tagging","school","st. elizabeth's boarding school"
"st. mary's academy","Replace","","","tagging","school","st. mary's academy"
"seger indian training school","Replace","","","tagging","school","seger indian training school"
"shawnee boarding school","Replace","","","tagging","school","shawnee boarding school"
"m-1011_127","Replace","","","tagging","roll","m-1011_127"
"san juan boarding school","Replace","","","tagging","school","san juan boarding school"
"carter seminary","Replace","","","tagging","school","carter seminary"
"mescalero apache","Replace","","","tagging","tribe","mescalero apache"
"dolores romero","Replace","","","tagging","person","dolores romero"
"red moon school","Replace","","","tagging","school","red moon school"
"fort bidwell school","Replace","","","tagging","school","fort bidwell school"
"armstrong academy","Replace","","","tagging","school","armstrong academy"
"collins institute","Replace","","","tagging","school","collins institute"
"greenville school","Replace","","","tagging","school","greenville school"
"spanish american","Replace","","","tagging","norp","spanish american"
"m-1070_01","Replace","","","tagging","roll","m-1070_01"
"plb_01d","Replace","","","tagging","roll","plb_01d"
"charlotte e. harris","Replace","","","","person","charlotte e. harris"
"m-1011_066","Replace","","","tagging","roll","m-1011_066"
"plb_02d","Replace","","","tagging","roll","plb_02d"
"m-1070_03","Replace","","","tagging","roll","m-1070_03"
"acoma","Replace","","","tagging","tribe","acoma;pueblo de acoma;pueblo of acoma;acoma pueblo"
"jemez","Replace","","","tagging","tribe","jemez;pueblo of jemez;pueblo de jemez;jemez pueblo"
"isleta","Replace","","","tagging","tribe","isleta;alameda la isleta;ana to ho;chiwetha;hanichina;kohernak;san agustin de la agustin;san agustin del isleta;san antonio de la isleta;pueblo de isleta;pueblo of isleta;isleta pueblo;shiahwibak;siwhi"
"nambe","Replace","","","tagging","tribe","nambe;nambé pueblo;nambé oweenge;nambe o-ween-gel pueblo of nambe"
"m-1011_144","Replace","","","tagging","roll","m-1011_144"
"navajo","Replace","","","tagging","tribe","navajo;navaho;athapascan indians;navajos"
"m-1011_079","Replace","","","tagging","roll","m-1011_079"
"jicarilla apache","Replace","","","tagging","tribe","jicarilla apache;jicarilla apache nation;jicarilla"
"jemez","Replace","","","tagging","gpe","jemez;pueblo of jemez;pueblo de jemez;jemez pueblo"
"laguna","Replace","","","tagging","gpe","laguna;pueblo of laguna;laguna pueblo"
"cochiti","Replace","","","tagging","tribe","cochiti;pueblo de cochiti;pueblo of cochiti;cochiti pueblo"
"laguna","Replace","","","tagging","tribe","laguna;pueblo of laguna;laguna pueblo"
"hopi","Replace","","","tagging","tribe","hopi;moki indians;moqui indians;tusayan indians;moqui"
"mescalero apache","Replace","","","tagging","tribe","mescalero apache"
"diné","Replace","","","tagging","tribe","diné;navajo;navaho;athapascan indians;navajos"
"m-1304","Replace","","","tagging","series","m-1304"
"m-1011_09","Replace","","","tagging","roll","m-1011_09"
"o0 fowls thurkeys chickens","Delete","","","","org","o0 fowls thurkeys chickens"
"m-1011_128","Replace","","","tagging","roll","m-1011_128"
"phoenix indian school","Replace","","","tagging","school","phoenix indian school"
"santa f","Replace","","","tagging","gpe","santa f"
"m-1070_46","Replace","","","tagging","roll","m-1070_46"
"carlisle indian school","Replace","","","tagging","school","carlisle indian school"
"pima","Replace","","","tagging","tribe","pima"
"m-1473_38","Replace","","","tagging","roll","m-1473_38"
"m-1473_31","Replace","","","tagging","roll","m-1473_31"
"latin","Replace","","","tagging","language","latin"
"picuris","Replace","","","tagging","tribe","picuris;pueblo de picuris;picuris pueblo;pueblo of picuris"
"tesuque","Replace","","","tagging","tribe","tesuque;tesuque pueblo;pueblo of tesuque"
"jicarilla apache","Replace","","","tagging","tribe","jicarilla apache;jicarilla apache nation;jicarilla"
"cochiti","Replace","","","tagging","gpe","cochiti;pueblo de cochiti;pueblo of cochiti;cochiti pueblo"
"m-1011_089","Replace","","","tagging","roll","m-1011_089"
"plb_01","Replace","","","tagging","roll","plb_01"
"summer","Replace","","","tagging","norp","summer"
"cochiti","Replace","","","tagging","gpe","cochiti;pueblo de cochiti;pueblo of cochiti;cochiti pueblo"
"m-1473","Replace","","","tagging","series","m-1473"
"44","Replace","","","tagging","school","44"
"albuquerque indian school","Replace","","","tagging","school","albuquerque indian school"
"acoma","Replace","","","tagging","tribe","acoma;pueblo de acoma;pueblo of acoma;acoma pueblo"
"united states indian service","Replace","","","","org","intcrior united states indian service;intehrior united states indian service;interior united states indian service;unted tata indian service;interior united states indian service 1;united indian service;united states indian service;united state indian service;uted stata indian service;interiorecemeo unites states indian service"
"m-1473_24","Replace","","","tagging","roll","m-1473_24"
"hopi","Replace","","","tagging","tribe","hopi;moki indians;moqui indians;tusayan indians;moqui"
"minnie l schiffbauer","Replace","","","tagging","person","minnie l schiffbauer"
"nambe school","replace","","","tagging","school","nambe school"
"test title","Replace","","","tagging","organization","test title"
"office of indian affairs","Replace","","","tagging","place","office of indian affairs"
"marriage","Replace","","","tagging","theme","marriage"
"sioux","Replace","","","tagging","organization","sioux"
"papago","Replace","","","tagging","organization","papago"
"christian","Replace","","","tagging","norp","christian"
"green house","Replace","","","tagging","place","green house"
"matt%27s collection","Delete","","","tagging","collection","matt%27s collection"
"theme 3","Delete","","","tagging","collection","theme 3"
"health","Replace","","","tagging","theme","health"
"black rock","Replace","","","tagging","gpe","black rock;blackrock;blackrook"
"onevols","Delete","","","","gpe","onevols"
"glass","Delete","","","","person","glass"
"grass-","Delete","","","","gpe","grass-"
"kunrejoretty whah","Delete","","","","person","kunrejoretty whah"
"grass hoppers","Delete","","","","person","grass hoppers"
"arrigation","Delete","","","","org","arrigation"
"marrattv","Delete","","","","person","marrattv"
"maurat","Delete","","","","norp","maurat"
"wheat","Delete","","","","org","wheat"
"whfah","Delete","","","","gpe","whfah"
"white","Delete","","","","gpe","white"
"whea","Delete","","","","person","whea"
"april and a considerable acreage","Delete","","","","date","april and a considerable acreage"
"barrels ............... books","Delete","","","","org","barrels ............... books"
"pass books","Delete","","","","org","pass books"
"bondi","Delete","","","","org","bondi"
"bhops","Delete","","","","gpe","bhops"
"whoh","Delete","","","","person","whoh"
"bood","Delete","","","","org","bood"
"bood","Delete","","","","gpe","bood"
"testing tribe","Replace","","","tagging","organization","testing tribe"
"maple","Delete","","","","org","maple"
"test 2","Delete","","","tagging","collection","test 2"
"m-1070","Replace","","","tagging","series","m-1070"
"leupp indian school","Replace","","","tagging","school","leupp indian school"
"unknown","Replace","","","tagging","school","unknown"
"m-1011_093","Replace","","","tagging","roll","m-1011_093"
"sufficienty","Delete","","","","person","sufficienty"
"plb_02c","Replace","","","tagging","roll","plb_02c"
"plb","Replace","","","tagging","series","plb"
"considerabl","Delete","","","","person","considerabl"
"arrigation","Delete","","","","event","arrigation"
"marrativr","Delete","","","","org","marrativr"
"blood","Delete","","","","person","blood"
"white","Delete","","","","person","white"
"a.b. creager","Replace","","","tagging","person","a.b. creager"
"whion","Delete","","","","event","whion"
"florencio cortez","Replace","","","tagging","person","florencio cortez"
"bood","Delete","","","","person","bood"
"spanish","Replace","","","tagging","language","spanish"
"j. f. bennett","Replace","","","tagging","person","j. f. bennett"
"whiis","Delete","","","","org","whiis"
"sandia","Replace","","","tagging","tribe","sandia;sandia pueblo;pueblo of sandi"
"whah","Delete","","","","org","whah"
"photos","Replace","","","tagging","theme","photos"
"agriculture","Replace","","","tagging","theme","agriculture"
"booras","Delete","","","","person","booras"
"bhops","Delete","","","","person","bhops"
"jemez","Replace","","","tagging","tribe","jemez;pueblo of jemez;pueblo de jemez;jemez pueblo"
"testing school","Replace","","","tagging","school","testing school"
"eurov","Delete","","","","org","eurov"
"nostrace response","Delete","","","","org","nostrace response"
"pueblo indian agency","Replace","","","tagging","org","pueblo indian agency"
"191l","Delete","","","","org","191l"
"santa ana","Replace","","","tagging","tribe","santa ana;tamaya pueblo;pueblo of tamaya"
"nutria","Replace","","","tagging","gpe","nutria;las nutrias;lower nutria;taiakwin"
"supervisor peairs","Replace","","","","person","peairs;supervisor peairs;supervisors peairs"
"cimarron agency","Replace","","","tagging","org","cimarron agency"
"clara d. true","Replace","","","tagging","person","clara d. true"
"capitan grande school","Replace","","","","school","capitan grande;capitan grand;capitan grande school;capitan grande---"
"gallup","Replace","","","","gpe","gallup--;galaup;galiup;gallup"
"choctaw","Replace","","","","tribe","choctaw"
"indians","Replace","","","","norp","indians"
"bismarck school, n.d.","Replace","","","tagging","school","bismarck school, n.d."
"agency guard house","Replace","","","tagging","place","agency guard house"
"central telephone number","Replace","","","tagging","place","central telephone number"
"leech lake","Replace","","","tagging","loc","leech lake"
"chippewa","Replace","","","tagging","organization","chippewa"
"statistics","Replace","","","tagging","collection","statistics"
"choctaw","Replace","","","tagging","organization","choctaw"
"united states","Replace","","","tagging","place","united states"
"pawnee","Replace","","","tagging","organization","pawnee"
"pueblo","Replace","","","tagging","organization","pueblo"
"chickasaw","Replace","","","tagging","organization","chickasaw"
"zuni indian school","Replace","","","tagging","school","zuni indian school;zunt indian school;indian school zuni;zund indian school;indian school zunt;indian school zund;zuni day school;zuni boarding"
"taos","Replace","","","tagging","tribe","taos;toas pueblo;pueblo of taos"
"san felipe","Replace","","","tagging","tribe","san felipe;katishtya;san felipe pueblo;pueblo of san felipe"
"zia","Replace","","","tagging","tribe","zia;pueblo of zia;zia pueblo"
"enroll average","Delete","","","","gpe","enroll average"
"eurol tash","Delete","","","","person","eurol tash"
"ohkay owingeh","Replace","","","tagging","tribe","ohkay owingeh;san juan pueblo;pueblo of san juan;ohkey owingeh"
"statistical","Replace","","","tagging","theme","statistical"
"ute mountain utes","Replace","","","tagging","tribe","ute mountain utes;ute indians;uta indians;utes"
"t-58_1","Replace","","","tagging","roll","t-58_1"
"enront","Delete","","","","gpe","enront"
"m-1070_25","Replace","","","tagging","roll","m-1070_25"
"santa fe indian school","Replace","","","tagging","school","santa fe tndian school;schoolsanta fe;santa fe school-;santa fe boarding school;santa fe school report;u. a. indiana johol;santa fe indian school;santa fe inda school;santa fe school;santa fe boerding school"
"m-1011","Replace","","","tagging","series","m-1011"
"sufficient","Delete","","","","gpe","sufficient"
"omardeen","Delete","","","","org","omardeen"
"marrative section","Delete","","","","org","marrative section"
"considerable","Delete","","","","org","considerable"
"el rito","Replace","","","","gpe","el rito"
"boods","Delete","","","","person","boods"
"grass","Delete","","","","person","grass"
"whitas","Delete","","","","org","whitas"
"laguna sanatorium","Replace","","","","org","laguna sanatorium"
"1926 bismarck school","Delete","","","","org","1926 bismarck school"
"year","Delete","","","tagging","date","year"
"north dakota","replace","","","tagging","gpe","north dakota;n. dak"
"c. j. crandall","Replace","","","","person","c. j. crandall"
"leech lake","Replace","","","","gpe","leech lake%2c;leech lake;leech lake%28"
"jicarilla subagency","Replace","","","tagging","org","jicarilla subagency"
"france","Replace","","","tagging","gpe","france"
"test person sf 8","Replace","","","tagging","person","test person sf 8"
"test person sf 7","Replace","","","tagging","person","test person sf 7"
"yankton","Replace","","","","gpe","yankton;yanktons"
"w.o.h. marron","Replace","","","tagging","person","w.o.h. marron"
"zuni river","Replace","","","tagging","place","zuni river"
"miss barlow","Replace","","","tagging","person","miss barlow"
"incapacity","Replace","","","tagging","collection","incapacity"
"test tribe sf 1","Replace","","","tagging","organization","test tribe sf 1"
"charles springer","Replace","","","tagging","person","charles springer"
"child labor","Replace","","","tagging","theme","child labor"
"pescado","Replace","","","tagging","gpe","pescado"
"m-1011_174","Replace","","","tagging","roll","m-1011_174"
"14","Replace","","","tagging","school","14"
"laguna","Replace","","","tagging","tribe","laguna pueblo;laguna indians;pueblo of laguna;laguna indian;laguna"
"cochiti","Replace","","","tagging","tribe","cochiti;pueblo de cochiti;pueblo of cochiti;cochiti pueblo"
"zuni","Replace","","","tagging","tribe","zuni indian;zuni zunt;zuñi;zunis;zunit;zuni;zunt zuni;zuni pueblo;zund;zuni pueblok;zund zuni reservation;zuñian indians;zuni indians;zunian indians;zundi zund tribe;zund pueblo;zunt zund reservation"
"t-58","Replace","","","tagging","series","t-58"
"washington","Replace","","","","gpe","washington"
"test","Delete","","","tagging","collection","test"
"marrative zuni","Delete","","","","person","marrative zuni"
"current fiscal year","Delete","","","tagging","date","current fiscal year;fiscal year"
"busser","Delete","","","","org","busser"
"albuquerque","Replace","","","tagging","gpe","albuquerque"
"plb_02ab","Replace","","","tagging","roll","plb_02ab"
"new mexico","Replace","","","tagging","gpe","n. mox;n. mex;n. max.;new lexico;n. mex.;n. max;n. mexo;n. men;state n. mex;new mexico;n. mek;n mex o;n. mex.%29;mier liexico;u state n. mex"
"bood arrigation","Delete","","","","org","bood arrigation"
"boars","Delete","","","","person","boars"
"christian reform church","Replace","","","","org","christian refrom;christian reform;e christian reform;christian reform church;a christian reform church;christian reformed church;%22 christian reform church;christion reform;chirstian reformed church;chirstian reform;christian reform church%22;christian reformed"
"broops","Delete","","","","org","broops"
"san juan agency","Replace","","","tagging","org","san juan agency"
"boehs","Delete","","","","person","boehs"
"abiquiu agency","Replace","","","tagging","org","abiquiu agency"
"boras","Delete","","","","person","boras"
"ramah","Replace","","","tagging","gpe","ramah"
"white","Delete","","","","norp","white"
"jemez","Replace","","","tagging","gpe","jemez;pueblo of jemez;pueblo de jemez;jemez pueblo"
"bands","Delete","","","","gpe","bands"
"white","Delete","","","","org","white"
"wlah","Delete","","","","org","wlah"
"supervising engineer robinson","Replace","","","","person","supervising engineer robinson"
"y. considerable of tne","Delete","","","","person","y. considerable of tne"
"intermountaineers","Delete","","","","org","intermountaineers"
"brooms","Delete","","","","org","brooms"
"mary haskett","replace","","","tagging","person","mary haskett"
"ramona school","Replace","","","tagging","school","ramona school"
"winslow sanatorium","Replace","","","","gpe","winslow sanatorium"
"william d. bryers, clerk","Replace","","","tagging","person","william d. bryers, clerk"
"santiago mirabal","Replace","","","tagging","person","santiago mirabal"
"testing new theme","Delete","","","tagging","theme","testing new theme"
"nuns","Replace","","","tagging","person","nuns"
"santa clara","Replace","","","tagging","tribe","santa clara;santa clara pueblo;santa clara publo;pueblo of santa clara;khap'o owingeh;santa clara indians"
"indian","Delete","","","","norp","indian"
"santa fe","Replace","","","tagging","gpe","santa fe"
"laguna","Replace","","","tagging","gpe","laguna;pueblo of laguna;laguna pueblo"
"springfield indian school","Replace","","","tagging","school","springfield indian school"
"final decree","Replace","","","tagging","theme","final decree"
"comanche","Replace","","","tagging","organization","comanche"
"caddo","Replace","","","tagging","organization","caddo"
"m-1011_088","Replace","","","tagging","roll","m-1011_088"
"indians","Delete","","","tagging","tribe","indians"
"santo domingo","Replace","","","tagging","tribe","santo domingo;kewa;keresan indian;santo domingo pueblo;pueblo of santo domingo"
"m-1011_002","Replace","","","tagging","roll","m-1011_002"
"m-1011_142","Replace","","","tagging","roll","m-1011_142"
"gross","Delete","","","","person","gross"
"grass","Delete","","","","gpe","grass"
"ind.","Delete","","","","gpe","ind."
"bastion which","Delete","","","","law","bastion which"
"sudan grass","Delete","","","","person","sudan grass"
"arrigation","Delete","","","","gpe","arrigation"
"whioh ir","Delete","","","","gpe","whioh ir"
"goats","Delete","","","","person","goats"
"whiah","Delete","","","","gpe","whiah"
"wnich","Delete","","","","gpe","wnich"
"graus","Delete","","","","org","graus"
"wrah","Delete","","","","date","wrah"
"books","Delete","","","","date","books"
"books","Delete","","","","org","books"
"books","Delete","","","","gpe","books"
"wzah","Delete","","","","org","wzah"
"flooding","Replace","","","tagging","theme","flooding"
"carolina poplar","Delete","","","","person","carolina poplar"
"n. a. mckenzie","Replace","","","tagging","person","n. a. mckenzie"
"nambe","Replace","","","tagging","tribe","nambe;nambé pueblo;nambé oweenge;nambe o-ween-gel pueblo of nambe"
"san ildefonso","Replace","","","tagging","tribe","san ildefonso;pueblo of san ilfdefonso;san ifdefonso pueblo"
"san xavier sanatorium","Replace","","","tagging","organization","san xavier sanatorium"
"dine","Replace","","","tagging","tribe","dine"
"enroll- average","Delete","","","","gpe","enroll- average"
"enroll- average","Delete","","","","org","enroll- average"
"enro lled","Delete","","","","person","enro lled"
"pojoaque","Replace","","","tagging","tribe","pojoaque;pueblo pojuaque;pueblo of pojuaque"
"test school sf1","Replace","","","tagging","school","test school sf1"
"enwon","Delete","","","","person","enwon"
"acoma","Replace","","","tagging","gpe","acoma;pueblo de acoma;pueblo of acoma;acoma pueblo"
"navajo","Replace","","","tagging","tribe","navajo;navajos;navaho;athapascan indians;nevajo"
"isleta","Replace","","","tagging","tribe","isleta;alameda la isleta;ana to ho;chiwetha;hanichina;kohernak;san agustin de la agustin;san agustin del isleta;san antonio de la isleta;pueblo de isleta;pueblo of isleta;isleta pueblo;shiahwibak;siwhi"
"acoma","Replace","","","tagging","gpe","acoma;pueblo de acoma;pueblo of acoma;acoma pueblo"
"navajo agency","Replace","","","tagging","org","navajo agency"
"zuni","Replace","","","tagging","gpe","zuni;zuni pueblo;zuni reservation;zunt reservation;zund reservation;zuni pueblok;zunt reservation;zunit"
"english","Replace","","","tagging","language","english"
"jicarilla agency","Replace","","","tagging","org","jicarilla agency"
